Metric,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,Jan-28,Feb-28,Mar-28,Apr-28,May-28,Jun-28,Jul-28,Aug-28,Sep-28,Oct-28,Nov-28,Dec-28,Jan-29,Feb-29,Mar-29,Apr-29,May-29,Jun-29,Jul-29,Aug-29,Sep-29,Oct-29,Nov-29,Dec-29,Jan-30,Feb-30,Mar-30,Apr-30,May-30,Jun-30,Jul-30,Aug-30,Sep-30,Oct-30,Nov-30,Dec-30,Jan-31,Feb-31,Mar-31,Apr-31,May-31,Jun-31,Jul-31,Aug-31,Sep-31,Oct-31,Nov-31,Dec-31
Cost_Mgmt_DCEO,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,6414.78,6414.78,6414.78,6414.78,6414.78,6414.78,6414.78,6414.78,6414.78,6414.78,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72
Cost_Mgmt_Payroll_Total,8231.54,8231.54,8231.54,8231.54,8231.54,8231.54,8231.54,17245.32,17245.32,19314.42,19314.42,19314.42,19314.42,19314.42,19314.42,19314.42,19314.42,19314.42,19314.42,19665.01,19665.01,22193.93,22193.93,22193.93,22193.93,22193.93,22193.93,22193.93,22193.93,22193.93,22193.93,23136.8,23136.8,23136.8,23136.8,23136.8,23136.8,23136.8,23136.8,23136.8,23136.8,23136.8,23136.8,24126.81,24126.81,24126.81,24126.81,24126.81,24126.81,24126.81,24126.81,24126.81,24126.81,24126.81,24126.81,25166.33,25166.33,25166.33,25166.33,25166.33,25166.33,25166.33,25166.33,25166.33,25166.33,25166.33,25166.33
Cost_Mgmt_CorporateOneoffs,0,0,0,0,3500,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cost_Mgmt_Contingency,1093.15,1093.15,1093.15,1093.15,1443.15,1093.15,1093.15,1994.53,1994.53,2201.44,2201.44,2201.44,2701.44,2201.44,2201.44,2201.44,2201.44,2201.44,2201.44,2236.5,2236.5,2489.39,2489.39,2489.39,2597.39,2588.4,2588.4,2588.4,2588.4,2588.4,2588.4,2682.68,2682.68,2682.68,2682.68,2682.68,2682.68,2682.68,2682.68,2682.68,2682.68,2682.68,2682.68,2784.66,2784.66,2784.66,2784.66,2784.66,2784.66,2784.66,2784.66,2784.66,2784.66,2784.66,2784.66,2891.67,2891.67,2891.67,2891.67,2891.67,2891.67,2891.67,2891.67,2891.67,2891.67,2891.67,2891.67
Cost_Mgmt_Total,10524.69,10524.69,10524.69,10524.69,14374.69,10524.69,10524.69,20439.85,20439.85,22715.86,22715.86,22715.86,28215.86,22715.86,22715.86,22715.86,22715.86,22715.86,22715.86,23101.51,23101.51,25883.32,25883.32,25883.32,27071.32,25982.33,25982.33,25982.33,25982.33,25982.33,25982.33,27019.48,27019.48,27019.48,27019.48,27019.48,27019.48,27019.48,27019.48,27019.48,27019.48,27019.48,27019.48,28111.47,28111.47,28111.47,28111.47,28111.47,28111.47,28111.47,28111.47,28111.47,28111.47,28111.47,28111.47,29258,29258,29258,29258,29258,29258,29258,29258,29258,29258,29258,29258
Cost_Total,12024.69,12024.69,12024.69,12024.69,15874.69,12024.69,23792.35,21939.85,21939.85,24215.86,24215.86,24215.86,29715.86,24215.86,24215.86,24215.86,24215.86,24215.86,44620.91,26101.51,26101.51,29383.32,29383.32,29383.32,30571.32,30472.38,29972.37,28472.38,28472.38,28472.38,76990.83,29509.53,29509.53,29509.53,29509.53,29509.53,29509.53,39509.53,29509.53,29509.53,29509.53,29509.53,132468.36,30631.22,30631.22,30631.22,30631.22,30631.22,30631.22,45631.22,30631.22,30631.22,30631.22,30631.22,181272.29,31808.34,31808.34,31808.34,31808.34,31808.34,31808.34,51808.34,31808.34,31808.34,31808.34,31808.34,209406.86
Net_Profit_Loss,9517.56,10197.69,11552.94,11988.92,9284.77,12889.98,1251.55,7862.31,8854.2,5340.74,9639.83,10792.89,5776.06,12125.4,14024.27,14498.55,16068.21,15511.97,-4865.8,21280.52,22189.88,16570.15,22299.84,23439.14,22445.44,23980.44,27408.47,29806.4,32270.49,31672.89,-16615.89,44607.5,46120.06,42887.11,51442.95,53293.19,53751.88,44987.64,58383.04,58858.11,61567.01,59990.12,-43339.96,75137.1,74653.98,68212.38,76586.46,76505.94,74815.02,59090.34,75781.26,74251.38,75137.1,71594.22,-81220.89,87498.98,87015.86,80574.26,88948.34,88867.82,87176.9,66452.22,88143.14,86613.26,87498.98,83956.1,-95816.46
Cumulative_Net,9517.56,19715.25,31268.19,43257.11,52541.88,65431.86,66683.41,74545.72,83399.92,88740.66,98380.49,109173.38,114949.44,127074.84,141099.11,155597.66,171665.87,187177.84,182312.04,203592.56,225782.44,242352.59,264652.43,288091.57,310537.01,334517.45,361925.92,391732.32,424002.81,455675.7,439059.81,483667.31,529787.37,572674.48,624117.43,677410.62,731162.5,776150.14,834533.18,893391.29,954958.3,1014948.42,971608.46,1046745.56,1121399.54,1189611.92,1266198.38,1342704.32,1417519.34,1476609.68,1552390.94,1626642.32,1701779.42,1773373.64,1692152.75,1779651.73,1866667.59,1947241.85,2036190.19,2125058.01,2212234.91,2278687.13,2366830.27,2453443.53,2540942.51,2624898.61,2529082.15
Cash_Balance,109517.56,119715.25,131268.19,143257.11,152541.88,165431.86,166683.41,174545.72,183399.92,188740.66,198380.49,209173.38,214949.44,227074.84,241099.11,255597.66,271665.87,287177.84,282312.04,303592.56,325782.44,342352.59,364652.43,388091.57,410537.01,434517.45,461925.92,491732.32,524002.81,555675.7,539059.81,583667.31,629787.37,672674.48,724117.43,777410.62,831162.5,876150.14,934533.18,993391.29,1054958.3,1114948.42,1071608.46,1146745.56,1221399.54,1289611.92,1366198.38,1442704.32,1517519.34,1576609.68,1652390.94,1726642.32,1801779.42,1873373.64,1792152.75,1879651.73,1966667.59,2047241.85,2136190.19,2225058.01,2312234.91,2378687.13,2466830.27,2553443.53,2640942.51,2724898.61,2629082.15
Cost_Infra_Direct_Recurring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34
Cost_Infra_Upgrade_CAPEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0
Rev_OHXEM,1122.11,1204.8,1324.65,1392.93,1502.05,1526.82,1571.72,2065.32,2426.42,2577.96,3248.41,3627.07,3927.37,4263.15,4730.88,5014.55,5444.95,5568.39,5762.99,6571.49,6905.98,6702.7,7834.41,8208.63,8415.79,9422.18,10723.33,11607.75,12830.05,13322.23,13970.88,16115.79,17109.4,16756.74,19745.26,20839.74,21507.02,22396.99,23969.79,24608.43,25973.02,25896.02,26195.4,28163.52,27997.2,25779.6,28662.48,28634.76,28052.64,27803.16,28385.28,27858.6,28163.52,26943.84,26195.4,28163.52,27997.2,25779.6,28662.48,28634.76,28052.64,27803.16,28385.28,27858.6,28163.52,26943.84,26195.4
PaidUpCapital,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cost_Mgmt_Dev_Transfer,0,0,0,0,0,0,0,3196.18,3196.18,3196.18,3196.18,3196.18,3196.18,3196.18,3196.18,3196.18,3196.18,3196.18,3196.18,3322.62,3322.62,3322.62,3322.62,3322.62,3322.62,3322.62,3322.62,3322.62,3322.62,3322.62,3322.62,3455.39,3455.39,3455.39,3455.39,3455.39,3455.39,3455.39,3455.39,3455.39,3455.39,3455.39,3455.39,3594.79,3594.79,3594.79,3594.79,3594.79,3594.79,3594.79,3594.79,3594.79,3594.79,3594.79,3594.79,3741.17,3741.17,3741.17,3741.17,3741.17,3741.17,3741.17,3741.17,3741.17,3741.17,3741.17,3741.17
Cost_Mgmt_Dev_NewHire,0,0,0,0,0,0,0,2966.28,2966.28,2966.28,2966.28,2966.28,2966.28,2966.28,2966.28,2966.28,2966.28,2966.28,2966.28,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72
Cost_Mgmt_Operations,0,0,0,0,0,0,0,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322
Cost_Mgmt_AI_Research,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
Cost_OPEX_Total,12024.69,12024.69,12024.69,12024.69,15874.69,12024.69,12024.69,21939.85,21939.85,24215.86,24215.86,24215.86,29715.86,24215.86,24215.86,24215.86,24215.86,24215.86,24215.86,26101.51,26101.51,29383.32,29383.32,29383.32,30571.32,30472.38,29972.37,28472.38,28472.38,28472.38,28472.38,29509.53,29509.53,29509.53,29509.53,29509.53,29509.53,39509.53,29509.53,29509.53,29509.53,29509.53,29509.53,30631.22,30631.22,30631.22,30631.22,30631.22,30631.22,45631.22,30631.22,30631.22,30631.22,30631.22,30631.22,31808.34,31808.34,31808.34,31808.34,31808.34,31808.34,51808.34,31808.34,31808.34,31808.34,31808.34,31808.34
Tax_Annual,0,0,0,0,0,0,11767.66,0,0,0,0,0,0,0,0,0,0,0,20405.05,0,0,0,0,0,0,0,0,0,0,0,48518.45,0,0,0,0,0,0,0,0,0,0,0,102958.83,0,0,0,0,0,0,0,0,0,0,0,150641.07,0,0,0,0,0,0,0,0,0,0,0,177598.52
