Metric,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,Jan-28,Feb-28,Mar-28,Apr-28,May-28,Jun-28,Jul-28,Aug-28,Sep-28,Oct-28,Nov-28,Dec-28,Jan-29,Feb-29,Mar-29,Apr-29,May-29,Jun-29,Jul-29,Aug-29,Sep-29,Oct-29,Nov-29,Dec-29,Jan-30,Feb-30,Mar-30,Apr-30,May-30,Jun-30,Jul-30,Aug-30,Sep-30,Oct-30,Nov-30,Dec-30,Jan-31,Feb-31,Mar-31,Apr-31,May-31,Jun-31,Jul-31,Aug-31,Sep-31,Oct-31,Nov-31,Dec-31
Cost_Mgmt_DCEO,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5609.84,5609.84,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4
Cost_Mgmt_Payroll_Total,8231.54,8231.54,8231.54,8231.54,8231.54,8231.54,8231.54,8231.54,8231.54,8231.54,17475.2,17475.2,17475.2,19544.3,19544.3,19544.3,19544.3,19544.3,19544.3,20101.83,20354.73,20354.73,20354.73,20354.73,20354.73,20354.73,20354.73,20354.73,20354.73,20354.73,20354.73,21205.64,21205.64,23993.74,23993.74,23993.74,23993.74,23993.74,23993.74,23993.74,23993.74,23993.74,23993.74,25026.61,25026.61,25026.61,25026.61,25026.61,25026.61,25026.61,25026.61,25026.61,25026.61,25026.61,25026.61,26111.14,26111.14,26111.14,26111.14,26111.14,26111.14,26111.14,26111.14,26111.14,26111.14,26111.14,26111.14
Cost_Mgmt_CorporateOneoffs,0,0,0,0,3500,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cost_Mgmt_Contingency,1093.15,1093.15,1093.15,1093.15,1443.15,1093.15,1093.15,1093.15,1093.15,1093.15,2017.52,2017.52,2517.52,2224.43,2224.43,2224.43,2224.43,2224.43,2224.43,2280.18,2305.47,2305.47,2305.47,2305.47,2413.47,2404.48,2404.48,2404.48,2404.48,2404.48,2404.48,2489.57,2489.57,2768.38,2768.38,2768.38,2768.38,2768.38,2768.38,2768.38,2768.38,2768.38,2768.38,2874.64,2874.64,2874.64,2874.64,2874.64,2874.64,2874.64,2874.64,2874.64,2874.64,2874.64,2874.64,2986.15,2986.15,2986.15,2986.15,2986.15,2986.15,2986.15,2986.15,2986.15,2986.15,2986.15,2986.15
Cost_Mgmt_Total,10524.69,10524.69,10524.69,10524.69,14374.69,10524.69,10524.69,10524.69,10524.69,10524.69,20692.72,20692.72,26192.72,22968.73,22968.73,22968.73,22968.73,22968.73,22968.73,23582.01,23860.2,23860.2,23860.2,23860.2,25048.2,23959.21,23959.21,23959.21,23959.21,23959.21,23959.21,24895.21,24895.21,27962.12,27962.12,27962.12,27962.12,27962.12,27962.12,27962.12,27962.12,27962.12,27962.12,29101.25,29101.25,29101.25,29101.25,29101.25,29101.25,29101.25,29101.25,29101.25,29101.25,29101.25,29101.25,30297.29,30297.29,30297.29,30297.29,30297.29,30297.29,30297.29,30297.29,30297.29,30297.29,30297.29,30297.29
Cost_Total,12024.69,12024.69,12024.69,12024.69,15874.69,12024.69,22155.59,12336.96,12336.96,12336.96,22504.99,22504.99,28004.99,24781,24781,24781,24781,24781,34531.62,27018.82,27297.01,27297.01,27297.01,27297.01,28485.01,28386.07,28386.07,28386.07,28886.07,28886.07,39513.79,30291.43,29791.42,32358.34,32358.34,32358.34,32358.34,42358.34,32358.34,32358.34,32358.34,32358.34,53849.7,35006.72,35006.72,35006.72,35006.72,35006.72,35006.72,50006.72,35006.72,35006.72,35006.72,35006.72,84143.52,37950.42,37950.42,37950.42,37950.42,37950.42,37950.42,57950.42,37950.42,37950.42,37950.42,37950.42,108630.4
Net_Profit_Loss,9517.56,9667.95,10471.27,10396.52,7138.34,10323.13,-106.35,12951.26,13190.69,11615.08,4382.31,4747.85,-899.37,2473.28,3405.79,3284.84,3962.88,3137.3,-6998.41,5399.74,5333.77,3395.37,6802.26,7163.28,5732.82,5939.59,6967.36,6760.23,6988.16,5963.03,-5172.22,12139.38,12824.41,7956.28,11834.81,12191.28,11853.6,2408.72,14040.25,14217.54,15505.84,14668.54,-7058.62,23138.72,23767.59,21244.71,26553.57,27403.33,27350.48,12812.23,29661.63,29641.8,31044.22,29750.43,-19902.28,39334.59,39033.2,35014.64,40238.77,40188.54,39133.66,18681.58,39736.45,38782.04,39334.59,37124.38,-34911.86
Cumulative_Net,9517.56,19185.51,29656.78,40053.3,47191.64,57514.77,57408.42,70359.68,83550.37,95165.45,99547.76,104295.61,103396.24,105869.52,109275.31,112560.15,116523.03,119660.33,112661.92,118061.66,123395.43,126790.8,133593.06,140756.34,146489.16,152428.75,159396.11,166156.34,173144.5,179107.53,173935.31,186074.69,198899.1,206855.38,218690.19,230881.47,242735.07,245143.79,259184.04,273401.58,288907.42,303575.96,296517.34,319656.06,343423.65,364668.36,391221.93,418625.26,445975.74,458787.97,488449.6,518091.4,549135.62,578886.05,558983.77,598318.36,637351.56,672366.2,712604.97,752793.51,791927.17,810608.75,850345.2,889127.24,928461.83,965586.21,930674.35
Cash_Balance,109517.56,119185.51,129656.78,140053.3,147191.64,157514.77,157408.42,170359.68,183550.37,195165.45,199547.76,204295.61,203396.24,205869.52,209275.31,212560.15,216523.03,219660.33,212661.92,218061.66,223395.43,226790.8,233593.06,240756.34,246489.16,252428.75,259396.11,266156.34,273144.5,279107.53,273935.31,286074.69,298899.1,306855.38,318690.19,330881.47,342735.07,345143.79,359184.04,373401.58,388907.42,403575.96,396517.34,419656.06,443423.65,464668.36,491221.93,518625.26,545975.74,558787.97,588449.6,618091.4,649135.62,678886.05,658983.77,698318.36,737351.56,772366.2,812604.97,852793.51,891927.17,910608.75,950345.2,989127.24,1028461.83,1065586.21,1030674.35
Cost_Infra_Direct_Recurring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,990.05,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1019.75,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34,1050.34
Cost_Infra_Upgrade_CAPEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0
Rev_OHXEM,1122.11,1204.8,1324.65,1392.93,1502.05,1526.82,1571.72,1821.24,1941.14,1907.69,2254.78,2386.23,2468.63,2576.43,2762.83,2841.58,3004.11,2999.75,3038.67,3398.4,3508.98,3351.35,3859.88,3989.78,4039.58,4133.4,4352.41,4401.66,4581.27,4508.6,4505.61,4975.56,5076.83,4795.01,5464.98,5593.32,5610.53,6178.48,6938.62,7428.96,8136.13,8382.53,8731.8,10013.7,10576.72,10311.84,12101.94,12726.56,13091.23,13592.66,14508.03,14857.92,15646.4,15567.55,15717.24,16898.11,16798.32,15467.76,17197.49,17180.86,16831.58,16681.9,17031.17,16715.16,16898.11,16166.3,15717.24
PaidUpCapital,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cost_Mgmt_Dev_Transfer,0,0,0,0,0,0,0,0,0,0,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3311.12,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3443.32,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3582.12,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3727.86,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89,3880.89
Cost_Mgmt_Dev_NewHire,0,0,0,0,0,0,0,0,0,0,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3081.22,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3201.92,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3328.65,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3461.72,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45,3601.45
Cost_Mgmt_Operations,0,0,0,0,0,0,0,0,0,0,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2851.32,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,2960.53,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3075.19,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3195.59,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322
Cost_Mgmt_AI_Research,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
Cost_OPEX_Total,12024.69,12024.69,12024.69,12024.69,15874.69,12024.69,12024.69,12336.96,12336.96,12336.96,22504.99,22504.99,28004.99,24781,24781,24781,24781,24781,24781,27018.82,27297.01,27297.01,27297.01,27297.01,28485.01,28386.07,28386.07,28386.07,28886.07,28886.07,28386.07,30291.43,29791.42,32358.34,32358.34,32358.34,32358.34,42358.34,32358.34,32358.34,32358.34,32358.34,32358.34,35006.72,35006.72,35006.72,35006.72,35006.72,35006.72,50006.72,35006.72,35006.72,35006.72,35006.72,35006.72,37950.42,37950.42,37950.42,37950.42,37950.42,37950.42,57950.42,37950.42,37950.42,37950.42,37950.42,37950.42
Tax_Annual,0,0,0,0,0,0,10130.9,0,0,0,0,0,0,0,0,0,0,0,9750.62,0,0,0,0,0,0,0,0,0,0,0,11127.72,0,0,0,0,0,0,0,0,0,0,0,21491.36,0,0,0,0,0,0,0,0,0,0,0,49136.8,0,0,0,0,0,0,0,0,0,0,0,70679.98
Cost_Portrait_IP_RevShare,0,0,0,0,0,0,0,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,936.81,936.81,936.81,936.81,936.81,936.81,936.81,936.81,936.81,936.81,936.81,936.81,1906.17,1906.17,1906.17,1906.17,1906.17,1906.17,1906.17,1906.17,1906.17,1906.17,1906.17,1906.17,3385.72,3385.72,3385.72,3385.72,3385.72,3385.72,3385.72,3385.72,3385.72,3385.72,3385.72,3385.72,5102.79,5102.79,5102.79,5102.79,5102.79,5102.79,5102.79,5102.79,5102.79,5102.79,5102.79,5102.79
